Content,Classify
"Áo khá nhiều chỉ thừa, hơi mỏng nhưng không quá tệ trong tầm giá này",0
Size M mà như XL vậy. Quá to so với mình (cao 1m55 46kg) chất vải cũng bình thường,2
Với giá tiền này thì mình nghĩ mọi người nên cân nhắc,2
Áo đẹp vải cũng dày from vừa mà giao hàng lâu quá tr,1
Ban đầu mở ra mình thấy khá là ok,1
"Sản phẩm được giao tới nhanh.Đóng gói kĩ càng, vải áo không dày cũng không quá mỏng.Màu áo dễ phối đồ,..nói chung là sp rất 👌",1
"Ảnh áo shop đăng trắng nhưng nhận về kiểu kem chứ ko phải trắng, mình lại đang cần áo trắng nữa",2
Tem khâu trên áo sao lại khâu ra bên ngoài. nhìn ko thẩm mỹ tí nào...,2
"Mình đặt hàng nhưng shop giao nhầm size cho mình. Shop cũng nhiệt tình giao lại và chịu chi phí, nhưng giao lại shop không ktra kĩ trước khi giao. Chiếc áo mình đổi nó lại bị rách. Màu về tối hơn trong ảnh. Mong shop ktra kĩ sản phẩm trước khi giao để nhiều bạn không bị khó chịu như mình. Lỗi 2 lần chứ không ít. Lần đầu tiên mua hàg mà có trải nghiệm không tốt",2
"Giao hàng nhanh, chất liệu cũng ổn, nhưng mk nghĩ lấy rút xuống 1 sz, chứ mk 52kg mặc sz M rộng thùng thình",1
Cái mạc đâu rr shop ơi,0
"Vải hơi mỏng với thô, ko xịn lắm, mặc tạm thôi. Với cả vạt áo sau quá dài.",2
Áo ổn với tầm giá. Cơ mà cái tag làm xấu cái áo thực sự,2
Đúng với mô tả:ổn áp lắm đoá,1
Đúng với mô tả:vãi bị j ák mà tổng thể cũng uk,0
"Mua live nên cũng rẻ, vải mỏng, form to, có ít chỉ thừa, gói hàng vũng tạm, giao đúng hẹn tầm 3 ngày. Nói chung rẻ nên cũng tạm thui chứ không đúng ý mình lắm. Chúc shop buôn may bán đắt 🔥💢😍😍",0
"Áo hơi mỏng shipper thân thiện,hàng đóng gói cẩn thận,giao nhanh",1
"Giao hơi lâu, áo còn bị nhoè sơn nx",2
"hàng giao nhanh , chị shipper thân thiện tốt bụng, áo đẹp và bảo quản khá tốt uy tín nhe và đẹp chuẩn nên mua nha cả nhà..hết..............................................................................................................................................................................hihihhihihihihihihihiihiihihiiiiihiihh",1
Hàng tốt nha với sp rất ổn vải mỏng ai muốn thì ủng hộ shop nh mn .,1
"áo về hơi to quá với cả không giống trên ảnh, trên ảnh màu nâu đậm hơn với chữ màu nâu nhạt còn ngoài thì như vậy",2
Hơi mỏng nhưng giá như vậy lạc hợp lí,1
Shop nhiệt tình gói hàng cẩn thận tiền nào của nấy thui nha mn,1
Hình ảnh và video mang tính chất nhận xu,0
Áo hơi mỏng so vs số tiền tạm ổn giao hàng nhanh chóng đóng hàng cẩn thận hình ảnh mang tính chất nhận xu,0
Nên làm sạch áo trước khi bán cho khách hàng,2
Ship thân thiện vui vẻ hàng ổn,1
Hơi nhiều chỉ thừa nhưng với giá này thì lh đòi hỏi gì thêm,0
Đúng với mô tả:sản phẩm tạm ổn.phần chữ bị mốc .không đẹp lm.với giá này cg ok,0
Mua mặc mát đi tập nên giá này ok rồi,1
"Vải hơi mỏng nhưng oki so với giá. Mặc mùa xuân hạ thu thì mát, đông thì mặc thêm áo ấm nữa.",0
Vải hơi mỏng nha hình in rõ nét nói chung là 10 đỉmmmm nên mua nha mn,1
kh nên mua vì nó mỏng lắmmmmm thiệc á mua phí tiền cực,2
"áo mỏng,chú ý chọn size chứ to lắm nhen mấy bàa",0
"Vải mỏng,hình bị mốc chấm trắng,tạm ổn,cánh tay có lỗ thủng nhỏ >(",2
"Áo mỏng , không vừa ý mình hình thỏ bị chấm đen rất xấu Mn không nên mua nhé áo rất mỏng ạ ai muốn mua thì cứ mua thử đi rồi biết ạ",2
Áo bị mốc cái hình,2
"Áo mỏng, vải rất rất tệ, giặt bị xù lông, khác xa với những chỗ khác giá cũng giống vậy :))))",2
"Thật sự mng nhé, áo không có độ co dãn, chất thì như nilong, form cũng không như hình mẫu",2
ko hai long vi ao rat mong va ko dc giay nhu tren hinh .,2
"eo ôi vải bị mỏng qua mức cho phép nếu mà tính v thì cái mùng gập 2 là iii chang cái vải áo. Mặc vô bị lộ rõ áo trong, cùng màu mà lộ v thì khác màu sẽ ntn đây",2
"Chất vải rất xấu, giặt sẽ bị xù lông, hình in cũng xấu nữa. Nói chung là sẽ k ủng hộ tiếp",2
Màu sắc:Oke,0
Nói thật là nó ko khác gì cái nùi giẻ hết xem live nó ổn vải xinh mấy cái áo trắng cũng là vải xu cũng ổn mà sao đặt màu đen lại như vậy ( ảnh nhận xu),2
"Con thỏ rất bẩn còn bị thủng một tí ở trên đầu , chữ cái ko được đẹp",2
"Hơi dày,hoạ tiết nhỏ ko giống hình,nm giá vậy ok r",0
Chất liệu:sấu,2
Hàng k đúng mẫu k đúng màu đã chọn giao toàn những mẫu xấu hình in trên áo giặt 1 lần là dính vào nhau,2
Hình in đẹp nhưng vải rất mỏng và nóng,0
Đúng với mô tả:hhbfh,0
"áo mỏng, hình in thật sự dở tệ",2
Chất mỏng,0
Hàng xịn oke . Mỗi tội hơi rộng so với mình . Vải mỏng nhưng mà với giá này thì không đòi hỏi nhiều . Shop giao hàng nhanh nữa . Oke lắm nhé mn nên mua,1
"Chất liệu:mỏng, quá rộng",2
Hàng đẹp from to —- giá thì rẻ mỗi tội hình bé hơn so với ảnh với giá tiền vậy thì quá ok rồi ————————————,1
"Màu đẹp, vải rất ok, hình in ổn áp con thỏ chưa được chuẩn đều mực lắm, mua giá cực tốt cực bèo, chất lượng được",1
Bình thường,0
"Áo mỏng, hình in nổi ko đẹp tổng thể nhìn khá lem nhem. Cổ áo cx nhỏ xíu nên form cx ko dc đẹp",2
"Cổ áo bị lệch mặc lên xấu, vì bị trổng vểnh lên rất nhọn và xấu",2
Thấy khá đẹp vs hình in sắc nét với giá này thì OK nha,1
"Hình ảnh và video chỉ mang tính chất nhận xu, sản phẩm đẹp đóng gói kĩ càng, giao hàng nhanh",1
Màu sắc:ko giống hình lắm,2
Áo cg đẹp nha mọi người vs số tiền này là rất oceee rồi . Nó đẹp hơn do vs mình tưởng tưởng . Nên mua nha,1
áo cũng dc nma lần này hình in kh đẹp lắm ạ dc cái giao hàng siêu nhanh,1
Áo hình in hơi chán nhưng với giá tiền này thì hợp lý rồi,0
"Tui cũm chả biết là hình trên áo có bong chóc ra ko nhưng đẹp nha, phù hợp vs giá tiền nữa ạ",1
Mik người hơi bé cho nên áo rộng là chuyện bth nhưng hình in thì có mùi hơi khó chịu,2
"Áo đẹp, rẻ, vải mỏng, màu đậm, nhma tiền nào của nấy thôi à",0
mình đặt 2 màu là đỏ và trắng thì màu đỏ chất vải khá mỏng nhưng rất đẹp mặc rất hợp mát mẻ còn màu trắng thì khá là màu à không rất mỏng mới đúng nhìn xuyên thấu luôn không dám mặc ra đường luôn ý chả biết mặc gửi cái gì luôn nhưng mà với cái giá này thì chả đòi gì nhiều vì màu đỏ rất là đẹp và chất vải ok hình in cũng đẹp nữa nên là mình vẫn cho 4 sao nhé,1
"Mình mua của shop được 3 lần đều ưng nha, form áo y2k ôm vừa người. Màu trắng mình thích loại mỏng hơn vì mặc mát. Giao hàng trong 1 ngày là có liền",1
"Màu vàng không giống như hình nhé shop. Shop cũng không báo lại mình mà cứ thế gửi hàng đi, các màu khác thì ổn nhé. Trừ 1 sao",2
"Hàng giao nhanh, vải khác nhau 1 cái mịn mỏng 1 cái dày thô không biết giặt có xù ko nữa . Áo trắng mặc áo ngực trắng vẫn thấy hết , áo màu bê mặc form đẹp ôm sát người . Mua 2 áo km ship trừ xu còn 27k 2 áo",0
"ủa đặt 2 cái áo mà cái áo đen vải lại dày và đẹp hơn trong khi màu đen rẻ hơn ??? còn cái màu be nửa biết là rẻ k đòi hỏi r mà nhìn màu áo có giống trong ảnh k trời , cả vải cũng không đẹp nhìn cả màu áo lẫn vải cứ cũ cũ , màu trên vd còn sáng nhé ! ở ngoài tối thui , mng nên mua màu đen thoi màu này nói thật k đẹp",2
Vải ổn về chất lượng so với giá tiền. Màu không đẹp. Đặt be sữa mà sao giống màu nâu huhuhu,2
"Mua lần thứ hai rồi, chất liệu vải khác nhau, nói chung ok vì giá rẻ hạt dẻ nên không đòi hỏi gì.",0
"áo đẹp giá hợp lý, mình rất thích from áo này",1
Mình 1m5 45kg mặc vừa in luôn nha. Dạng babi tee trơn này tìm nhiều chỗ mà hem có may có shop có đúm form mình ưng. Chất vải co giãn nhiều thoáng mát,1
"Với giá này thì k đòi hỏi chất lượng,màu sắc và phom đẹp,nên giặt tay để ko bị giãn,nhão vải áo",0
"Giao hành nhanh, shop đóng gói cẩn thận, chất liệu áo hơi mỏng, nói chung phù hợp giá tiền thoi, shipper thân thiện",1
"Năm cái ba chất vải khác nhau. Màu xám chất vải mỏng, màu xanh chất dày và thô, vải áo trắng và hồng đẹp nhất",0
"Mình đặt 4 cái . 2 trắng , 1 đen , 1 xanh . Vậy mà Shop cũng giao nhầm 2 cái màu đen . Còn nữa , 2 cái áo dài hon màu đen và màu xanh thì cái to cái nhỏ , vải cũng không được như 2 áo ngắn.Shop xem lại nhân viên đóng hàng nhé .",2
"Đúng với mô tả:đường may ổn, k có chỉ dư, cứng cáp",1
Áo đẹp phù hợp với giá tiền nhéeeeeeeeeeeeee,1
"53kg -1.58m, Mua 4 cái mặc được có cái này thôi,thun giản tốt, 3 cái kia nhỏ mặc không được k giản",0
Áo ổn nhưng hơi nhỏ so với mình. Với giá này không đòi hỏi nhiều ạ. Hình ảnh chỉ mang tính chất nhận xu,0
Áo nhỏ. Freesize cho bn nào dưới 42kg mặc đẹp. Vải áo trắng vải ko đẹp bằng vải áo xanh đen. Cho shop 4 sao,0
Vải mang thích lắm ạaa,1
"Vải này phù hợp với giá tiền thôi, mình làm hư áo đồng phục, thấy hình chụp sàn của shop mạc là zara y như đồng phục mình nên đặt để đền cho chủ. Mong chờ hàng shop giao ai dè khác mạc còn khác chất vải :((",2
Áo mỏng nên hơi lộ nhưng được cái form khá đẹp nên cũng ok nha nên mua,1
"Mong là hàng ổn, vì nhờ người khác đặt hộ, nếu ok thì sẽ ủng hộ lâu dài. hình ảnh chỉ mang tính chất tượng trưng thoi,",0
Tuy nhiên chất vải nóng ko ohuf hợp cho mùa hè!!!,2
"áo cũng ok chất liệu không quá mỏng ,mặc cũng ok",1
Áo với giá như thế này không đòi hỏi gì nhưng mình thấy áo màu đen giày hơn áo trắng,0
Sản phẩm okie 👍👍👍👍👍👍👍👍👍👍👍👍👍💢💢💢💢💢💢😁💢💢💢💢💢💢💢💢💢 đẹp giá khá rẻ hơn nữa để cho .,1
giá này thì cũng tạm ổnn đáng muaa nkaa,1
Vải mỏng,0
"Áo đẹp,phù hợp với giá tiền nhưng giao hàng hơi lâu và hơi to so với người M5",0
Áo cho nam là đc nè! Mình con gái hơi bị rộng- mà ở đây ko có size S. Mà nói chung áo trơn cũng ổn áp. Có size nhỏ hơn cho mình thì ok. con gái bị rộng. Hình ảnh mang tính chất nhận xu thôi. Vì cất áo rồi,0
"áo dày, màu ok cskh ok",1
Đúng với mô tả:đúng vs mô tả,1
"Vải áo kh hề đẹp 1tí nào, thất vọng lắm luôn shop ạ,áo còn bị phai màu nữa,",2
"Logo ở cánh tay hơi may ẩu bị xổ chỉ sắp rớt lun phải may lại, áo có mùi ngửi hơi nhức đầu",2
Hơi mỏng tạm đc giao hàng hơi lâu 5 ngày,0
"Áo cũng được, mặc hơi nóng, giặt ra màu nhiều quá, chắc vài hôm bạc hết",2
Mình thấy áo khá mỏng và mới nhận thì cổ áo đã bị dãn,2
áo hơi mỏng cổ bé tạm được,0
Giá thì chuẩn so với giá roii.tiền nào của đó,0
Màu sắc:trắng,0
Hơi thất vọng về chất vải khá mỏng,2
VỚI GIÁ NÀY TẤT NHIÊN KO ĐƯỢC YÊU CẦU CAO NHƯNG HÀNG PHẢI SẠCH VÀ ĐÚNG LOẠI NHÉ CĐ CHỦ SHOP,2
"Mình rất khó chịu khi nhận hàng. Có rất nhiều chỉ thừa, hàng nút không thẳng. Có cả lỗi chưa may qua phần vải đó. Một cái lỗ bự vậy mà khi kiểm hàng shop cũng không thấy?? Kêu mình đòi hỏi gì với giá như vậy thì mình thưa là mình đòi cái tâm của người bán nha. Xin lỗi chứ thành phẩm như này thì mình mua với giá đó còn thấy mắc. Form áo xấu, may túi còn lệch tới tận nách.",2
Áo giao về bị rách chỉ thừa quá nhiều lỗ đóng cúc thì bị lệch k thẳng hàng đóng cúc vào trông sộc sà sộc sệch mô tả sản phẩm shop nói đc đổi trả này kia mà k thấy đâu ib thì toàn thả sticker xong bảo tự đi ra tiệm mà sửa :)),2
"Sp không giống hình,khuyên mn ko nên mua,nếu mua mn nên đặt của shop peonyb. store,đặt nâu shop giao màu vàng,áo ko có mác còn bị mốc chỉ thừa nhiều nt shop ko trả lời lần đầu cũng như lần cuối mua của shop",2
Gửi áo thì rách đường chỉ đi qua to như thế thì k biết là nên mặc kiểu gì,2
Đúng với mô tả:áo bị rách,2
Đúng với mô tả:bị rách bên sau 🙂,2
Áo cũng được nhưng mà nút đen nên cho 1 sao,2
"Đáng nhẽ áo đẹp nhưng mình không hiểu do đâu mà bị rách một vệt rất khó sửa ngay mặt trước áo? Không kiểm hàng kĩ trước khi giao sao? Vì mình bị mất video quay lúc bóc hàng nên không yêu cầu trả lại, hoàn tiền được haiz. Còn dính phấn xanh dương cạnh các lỗ cài cúc nữa, đường may không chắc chắn.",2
với giá này thì ko đòi hỏi nhưng áo mặc ko đc túi áo thì may tận eo thì đựng đc cái gì ?? lười đổi trả nên lấy kéo cắt túi áo ra cho lẹ =)) áo thì mỏng tanh à nhưng thôi giá rẻ,2
"Mình khuyên mọi ng không nên mua, áo xấu lắm. Không giống trong hình, from áo mặc lên xấu, túi áo thì bị lệt, nhắn tin thì shop không trả lời làm ăn gì kì v, bỏ 69k mua 1 cái áo này thì quá mắc, bận nên không chụp thì đc. Lần đâu cũng như lần cuối mình mua sẽ không bao giờ mua shop này thêm 1 lần nào nữa.",2
"Áo quá rộng và kiểu dáng xấu, không như ảnh. Shop giao thiếu hàng của mình một cái áo nhưng không hoàn trả. Đây là lần đầu tiên mình thử mua hàng ở đây, và là lần cuối 😞. Thật sự rất thất vọng về cách làm việc và cảm thấy nghi ngờ uy tín của shop",2
"áo màu nhạt, không giống như trong hình với cả còn bị dính màu lên ,chất liệu vải cũng kh tốt thô, nhăn và còn mỏng nữa",2
"Với giá này thì mình không đòi hỏi nhiều về chất liệu cũng như đường may, điều mình muốn nói ở đây là màu sắc thật sự không ăn nhập gì với hình shop đăng cả, thật sự rất là thất vọng luôn, màu như kiểu áo cũ vậy",2
"Tui đặt áo hình con ngựa, shop giao áo xẻ tà sau, làm ăn k nhắn trước cho ngta biết để ngta có nhận khác loại hay không, tui k trả hàng nhưng đánh giá 1* cho tính thiếu trung thực với khách hàng",2
"Spham mặc nóng, giặt vải bị bung ra, cúc may không chất lượng, dễ lủng lẳng. Sau lưng chia hai, xấu!",2
Vải mỏng manh,0
"Đúng với mô tả:vừa xấu vừa bẩn chưa bao giờ mình đánh giá áo nào thế, giền nào của nấy nhưng xấu thôi rồi",2
"Xấu lắm mn ạ cân nhắc trước khi mua nha vải mỏng lắm nha,",2
"Hàng rất tệ, áo rất mỏng còn bị rách chỉ do mai ẩu",2
mặc dù đựng trong túi zip xịn xò nhưng mà áo mỏng quá ạ huhu size to đẹp áo form đẹp nhưng mà mỏng quá tính tặng anh người yêu mà mỏng như vậy sao tặng huhu,2
"Chất liệu đẹp, m58 mặc đẹp không dài lắm shop tư vấn nhiệt tình nên muaa",1
ko hiểu 2 vết ở cổ tay áo này là bị rách hay thiết kế như vậy nhưng mà cảm giác kéo nhẹ 1 cái là bung hết chỉ ra.,2
Form áo xấu lắm mặc vào nhìn bị béo hơn ấy mng ;chất vải cực xấu í nó cứ như vải mấy cái túi tiện lợi trong các shop:)) màu áo thì đẹp với giá 129k thì k đáng ạ,2
Hàng vải đẹp màu thì hơi khác so với hình vải ok áo from hơi rộng vải dày dặn mặc được nhưng không nên mua nữa 😂😂,2
nhiều chỉ thừaa ở cúc áo quá xong cúc áo bị rớt phải mang đi sửa,2
"Đúng với mô tả:Shop giao lộn áo cho t mua 1c size L ,1c size 2xl mà giao về đo thấy 2cai bằng nhau luôn thậm chí áo màu xanh phần sau cổ cũng hong có thiêu cái để size luôn nên mặc bó k rộng như mong đợi đâu.Còn phần áo thì vải đẹp k dày m74 nặng 50kg cái màu xanh k biết size gì thì nó bó k rộng đâu.",2
Shipper láo cá bận nên k nghe máy được xong kêu giao lại r bảo ngta phiền 😀😀,2
"Vải nhung tăm chất liệu khá ổn, nhiều chỉ thừa nhé shop",0
"Chiều ngang thì nhỏ mà chiều dài thì lại quá lớn, áo không thiết kế form rộng như mô tả mà thẳng đuột à tr:)) vải thì nóng mình cũng đến chịu:vvv",2
Sản phẩm ok mà shop giả dối bảo nhận hàng đc kiểm nên mới đặt nhưng shipper bảo shoppe không có dịch vụ kiểm shop chả khác nào lừa gạt,2
"Đường may xâú ,phần cúc áo và khuy áo làm rất tệ , áo dính nhiều bông vải khác màu.",2
"Áo mỏng , form bé , đã đặt size XL r mà vẫn bé , tay áo dài nói chung là khá thất vọng",2
Tiền nào của đó,0
"Áo quá rộng so với trên hình mẫu nữ mặc 😭 mua về ko mặc được. Tui buồn, tui trầm cảmmmm",2
Sp màu xám kiểu bị phai bạc bạc chí k như trên hình màu đậm nha,0
Màu khác so với hình quá trời luôn,0
"Không đẹp, vải rất xấu , không như kì vọng",2
áo rất rộng mn mua thì nên cân nhắc về size from lên k chuẩn cho lắm,0
Xinh xinh xinh áo xinh nha mọi người rẻ đẹp chất lượng nha mọi ngyoiwf,1
Mặc trời mát mát thì ok chứ nắng quá thì nóng.,0
"Áo đẹp nhưng mình đặt hai áo mà shop chỉ giao một áo thôi, mình phản hồi thì shop cũng chuyển tiền lại 1 áo cho mình. Lần sau mình đặt nữa mà giao đủ thì sẽ cho shop 5 sao.",1
"Nhận đc sp nhưng k hài lòng. Shop bán k có tâm. Đã dặn rất kĩ là lấy đúng màu, nhưng vẫn làm sai. K bao giờ mua lần 2",2
Áo vải đẹp thoáng mát. Ôm vừa vặn. Đánh giá 3 sao vì cổ áo nhỏ mặc hơi khó chịu.,0
"áo màu trắng chất vải dày dặn mặc ok , còn màu xám chất vải khác mỏng mau giãn mới chỉ mặc 1l mà đã giản rộng",2
"giao nhanh, gói hàng đẹp, nhưng mà cái áo mỏng kinh khủng 🥲 tui biết hàng rẻ nma ko nghĩ nó mỏng v luôn, thấy cả nội y mặc dù tui mặc nội y màu trắng",2
"Màu sáng quá, chất liệu tạm ổn.... Giá tiền với chất lượng vậy là ổn lắm rồi ...",0
"Bình thường em mua màu này cũng 3,4 đợt rồi lúc nào vải cũng mát với đẹp hết đợt này vải xấu quá ạ :((( dễ xù lông, mong shop cố định 1 loại thôi cho dễ mua ạ",2
"Lười nên k chụp hình áo. Chất vải mặc sẽ nóng, dáng vải đẹp nhưng mà áo hơi ngắn. Mình cao 1m55 nhưng mặc thấy ngắn k ưng ý như những áo mua lần trước",2
"Màu trắng vải xấu quá, lại mỏng tang nữa, mặc thấy cả da. Vải màu be thì ok, mà màu ở ngoài ko đẹp như hình, nó bị tối tối, nhìn bị quê. Ncl thất vọng 😞 đúng là chỉ có màu đen mới là chân ái 🥲",2
"Đặt 2 cái cùng mẫu mà màu đen rộng hơn.chất xấu hơn. Nói chug tiền nào của nấy,vải chảy rất nhanh dão,nhất là cái màu đen kb có mặc dc k",2
"Shop gửi nhầm màu ròi nhưng cần gấp, sầu thúi ruột :(",2
áo mỏng lắm nhé áo đen nhanh gião hơn áo trắng. áo trắng mỏng hơn và ngắn hơn nhiều,2
Áo rất mỏng nha mọi người mình bỏ luôn á không mặc được luôn nét y,2
Shop kh trả lời tin nhắn. Thái độ phục vụ kém,2
Áo vải dày.mà hơi bạc màu.màu ko đen lắm,0
"Giặt xong lần đầu thì thấy vẫn bình thường nha, vải mỏng..",0
Áo mỏng mà hình in bị bẩn nx. Có phần thất vọng :_,2
vải xấu lắm mới mua về chx giặc xog t mang đã bung chỉ r kém k nên mua,2
"Áo vải mỏng, không giống hình, in nổi nhưng màu không đẹp, giao hàng nhanh",2
Vãi quá mỏng siêu mỏng,2
Áo ko đẹp như hình đou nha mọi người ảnh chụp nhìn dõ đẹp hình in to nhận về thì hình in rất nhỏ đã vậy còn bị mờ,2
Với giá này thì ko nên thất vọng ạ ! Mặc thì không ổn lắm,0
Chất liệu:đồ bth chất vải ko giống trong hình khi nhận hàng hơi thất vọng,2
"áo mỏng, hình in xịn, mặc nóng, nên giặt tay và hạn chế giặt máy nha ( vì vải móng, giặt máy nhiều sẽ nhanh xù lông ), tiền nào của nấy, với giá tiền này thì t ko đòi hỏi quá nhiều về chất lượng.",0
Đúng với mô tả:đẹp,1
Áo giặt vài lần là tróc hết hình,2
Đúng với mô tả:hơn mỏng vs ngắn phom k đc rộng,0
Trời ơi mọi người ơi nên cân nhắc mua nha chứ áo rất mỏng luôn nha hinh ảnh mang tính chất mình hoạ,2
"Trờii má, shop gì mà vì cục dị ạ??? Khách hàng hỏi thì trl đc 1 lần kh cóa lần t2 lun í ạ💁 mik bx nay shop bận nên để qa hôm khác, mà để mấy bc nay shop kh trl lun áaa. Tưk gì đou🥺đặt 2 cái màu đen shop giao 2 cái đen 1 cái trắng mà cái trắng nó mỏng qá àaaa. Mag lộ hớt !!! Áo màu đen chữ nó cứ bị shao á nhìn nhue kiểu bị mốc mốc á ạ💆‍♂️😥. Vì shop kh rep tn vs làm ăn ntn thì mik chỉ cho 3sao thoy ạ",2
nhìn quả tay áo phát ớn. quá nhiều chỉ thừa ở nhiều chỗ. cân nhắc nha,2
"Áo from đẹp nhưng siêu nóng . Pha nilong quá nhiều, mặc dễ bị khó chịu lắm ạ, màu đẹp đúng như hình",0
Shop nhiệt tình nhưng hình ảnh mô tả khác so với chất liệu áo mình nhận được cảm thấy khá thất vọng ạ vải mỏng k đc dầy dận😥😥,2
Áo chất vải mặc nóng. Mỏng. Ko vừa người. Tay áo dài mà thân thì nhắn so vs người dù đã chọn size L. Nên cân nhắc trc khi mua,2
Form xấu. Nói chung là xấu xogxkgkzktstkfkkggkzgkzmcm🥲 🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲,2
Màu ko giống hình 😌,2
"Chỉ may không khéo thiếu chỉ may lệch, thời gian giao hàng rất lâu, vải thì đẹp mong shop bán hàng onl có tâm kiểm tra trước khi giao cho khách hàng.",2
Chất vải nóng,2
Bth,0
shop còn giao mình thiếu hàng nữa nên thật sự ko hài lòng về trải nghiệm đặt hàng ở đây,2
"Giao hàng siêu lâu, 15 ngày mới có. Áo form cứng cáp. Tặng móc khoá nhỏ.",2
"Màu không giống hình, trong hình là đen xanh nhưng khi giao là màu ngã nâu họa tiết đen. Vải thô cứng, tay áo thì dài nhưng không rộng như hình.",2
"Mặc rất nóng ,không được k được thoải mái .",2
"Áo trông rất đẹp, tuy nhiên đường chỉ của áo mình nhận được không chắc chắn nhất là chỗ phần nách áo",2
Quần vải mỏng áo nam nặng 58kg cao 1m67 shop tư vấn size xl về rộng như cái bao bố,2
Áo vải mỏng khó thấm mồ hôi ko hích hợp mặc mùa hè mùa thu thì ok,0
Trong gói hàng bị ướt . Chứ áo oke lắm ạ,1
Áo bị lỗi đường chỉ,2
"Áo gần giống trong ảnh quảng cáo chứ không phải áo như trong quảng cáo, so vs giá thế là tạm đc",0
Nhìn cực kĩ mới thấy không phải áo giống y hình chỉ hơi hơi giống thôi,0
"Áo form k đẹp , chất vải k mát",2
Chất vải k đúng nhưng tạm ổn,0
Nhận được hàng ko quá lâu. Áo như hình nhưng chất vải thì vô cùng cứng mặc dù phần miêu tả nói vải mềm.,2
Hàng bìnhhhhhh thường vải ko đẹp tạmmmmmmmmmmmmmmmmmmmmmm,0
vải áo quá tệ,2
Vải xấu nóng,2
Sản phẩm phù hợp vải thô nhưng cũng có độ mềm màu thì sáng hơn trong hình mọi người nên cân nhắc trước khi mua ạ để kẻo lại thất vọng,0
Theo cảm nhận của t thì với giá thành như này cx ok lắm rồi. Hơn nữa khi nhận đc hàng thì ngoài mong đợi luôn í. Giao hành nhanh mà shop cx tư vấn nhiệt tình nữa. Ngoài ra ship cx khá thân thiện và nhiệt tình tư vấn. Lần sau có dịp t sẽ mua tiếp. Cảm ơn shop nhiềuuuuu,1
Cái áo 30k là quá rẻ. Tiền công tiền mác tiền in áo tiền ship. Ko có gì để chê luôn,1
"Áo rộng,mặc thoải mái",1
"Áo đẹp chất cottong su đúng vs mô tả,mặc mát mẻ chữ in nổi nhìn rất đẹp giao hàng nhanh ship nhiệt tình,giá rẻ k đòi hỏi gì thêm",1
"Áo shop này chất lượng với đẹp lắm rẻ mà chất lượng dã man mn nên mua nhé, sau mua chắc vẫn mua của shop",1
Áo đẹp nha mn.hàng về nhanh lắm luon.gói hàng kĩ.vải cx ko mỏng quá đâu.thích hợp mặc vào mua hè nhe.sẽ ủng hộ shop nhiều hơn,1
Đẹp cực luôn ý . Tại mình lười chụp . Hình ảnh mang tính chất minh họa,1
Áo hợp vs giá tiền lắm nen mua nói chung hàng rẻ k nên đòi hỏi chất lượng cao,1
"tớ 51kg , m6 mặc lên rất vừa , thoái mái , chất vải cotton su , áo cố màu nâu nhạt , tổng thể khá ổn , tớ mua áo với giá 23k nên khá hài lòng với sp🤤 ( video chỉ mang tính chất nhận xu , k liên quan đến sp ạ )",1
Hình ảnh mang tính chất nhận xu. Ship dễ thuong nhiệt tình . Chất vải tầm giá này là ổn áp rồi nên mua nha mn,1
Với giá này mà có thể hốt được nhiều áo xinh đẹp rẻ như này,1
Áo đẹp lắm mọi người oiii nên mua nhé lần sau lại quay lại nhé,1
Hình ảnh chỉ mang tính nhận xuiii thuii😗,0
"Mình đã mua 4 cái áo shop này r, nhưng mình thấy áo này dày dặn nhất, chữ được in nổi, vải dày dặn nhưng vẫn thoáng mát, k bị lộ áo trong, đóng gói cẩn thận k hôi k bẩn, đáng tiền, nên mua nha<3",1
Đẹp nha còn rẻ nữa mình sẽ ủng hộ shop dài luôn các bn nên thử mua,1
Hàng về ổn áp lắm vải hơi nóng th chứ mặc lên đẹp lắm lun minh size M chọn L về thì lên fom vẫn đẹp nha,1
"Áo đẹp mà rẻ đóng gói cẩn thận shipper thân thiện nên mua nha,Sẽ ủng hộ shop lần sau",1
So với số tiền thì có một cái áo quá tuyệt vời nhan mn nên mua,1
Áo hơi mỏng tí vải zậy chắc có người mặc thấy hơi ngứa. Mình m57 50kg nha. Giá vậy kh đòi hỏi nhiều,0
Sản phẩm rất tốt mọi người nên mua nha đóng gói sản phẩm rất tuyệt vời lắm 🎉🎉🎉🎉🎉,1
"áo đẹp hợp với giá tiền, có vài cộng chỉ thừa nma không sao ạ , áo đẹp",1
"Giao nhanh, đóng gói ổn, màu xanh đẹp ạ nhưng nhìn đc thấy trog 1 ít với hơi nóng",0
Chỉ hỏi tiếc là nhiều chỉ thừa nha mặc lên rất tôn dáng nha mn nên mua,1
"Chất vải mát, mỏng, thích hợp mặc đi chơi ......",1
Giao nhanh nhưng mk mặc lên khá rộng vải hơi mỏng mk mặc lên bị lộ😅,0
"Áo rất đẹp,không có chỉ thừa,mặc mát và thoáng,áo giao đúng với mô tả,giá lại rẻ,hợp với túi tiền,giao hàng nhanh,gói hàng cẩn thận",1
"Áo mỏng, rộng thêm xíu nữa là đẹp, vải hơi nhăn nhưng nhìn chung phối đồ lên đẹp lắm",1
